ph,Solids,Conductivity,Turbidity,Potability
,20791.318980747,564.308654172243,2.96313538063164,0
3.71608007538699,18630.0578579703,592.885359134852,4.5006562749424,0
8.09912418929839,19909.5417322923,418.606213064481,3.05593374966416,0
8.31676588421467,22018.4174407752,363.266516164243,4.62877053683708,0
9.09222345629096,17978.9863389262,398.410813381844,4.07507542543003,0
5.58408663845608,28748.6877390461,280.467915933487,2.55970822755652,0
10.2238621645287,28749.7165435282,283.651633507844,2.67298873693477,0
8.63584871850073,13672.0917639016,474.607644942448,4.40142471544548,0
,14285.5838542245,389.375565871261,3.59501718095761,0
11.1802844707215,25484.5084909878,563.885481481094,4.37056193665549,0
7.36064010583825,32452.6144091438,425.383419495387,3.66229178285245,0
7.97452164892386,18767.6566818134,364.098230462048,4.01171810833978,0
7.11982438426455,18730.8136533427,347.715027261943,3.44575622332189,0
,27331.3619619277,379.761834825772,4.4139741829749,0
7.49623220797336,28388.0048867369,444.645352332706,4.77738233722537,0
6.34727176053931,41065.2347645393,516.743281893657,4.37634829069189,0
7.05178580001684,30980.6007867888,315.141267244302,4.26842885750618,0
9.18156000715153,24041.3262800612,477.974641862177,4.50366079617912,0
8.97546434753396,19460.3981312321,431.443989990348,2.43608559030527,0
7.37105030242953,25630.3200369997,469.914551479235,2.56029914761491,0
,22305.5674137414,554.820086460543,4.13342264357917,0
6.6602120261181,30944.3635912426,523.671297500944,3.74970124109961,0
,17107.2242258276,436.256193972649,5.45925095602873,0
3.90247568591509,21167.5000989687,444.478882506897,4.52852269632691,0
5.40030178072946,17266.593421923,472.874073275429,4.82478638976752,0
6.51441509325167,21218.7028711901,413.290450088534,5.20088507653975,0
3.44506186438521,33424.7686784948,441.785875673938,4.18439696902885,0
,13224.9356389769,298.990666499932,4.00487112757158,0
,26362.9650123093,364.480106703737,3.9915642477993,0
,15193.4134739672,563.804743325086,6.03818495318358,0
7.18144858082917,15196.2299874838,342.111286285192,5.08885998913879,0
9.82548990813439,19677.892465552,452.836234877238,2.85747242605118,0
10.4332909828043,22326.8920457186,412.986833790332,5.05731051651572,0
7.41414819633624,32555.8525370736,411.983364167012,3.16062446823263,0
,14787.2062648581,383.981723024757,5.02916672408073,0
5.11581706377121,19620.5453286121,441.748379324868,3.90208876764375,0
3.64162977747338,24752.0724597554,456.860095941041,3.46435303515502,0
5.61806440590914,17281.9751684116,399.471566281094,2.89654694130447,0
,19942.2732181848,427.130671481902,2.90756391519334,0
9.26718753076354,24683.7235660296,396.876949057917,4.32400464561828,0
,11703.9239070478,349.399632532304,3.51000404459052,0
5.33194047901853,16658.8765031635,335.120398437461,4.43482025795654,0
7.14577154521882,28780.3404316327,332.032706330685,5.18259070398022,0
